_time,content,level
2021-07-29T10:44:45.441+0800,系统时间已从 ?2020?-?12?-?21T06:05:38.945447400Z 更改为 ?2020?-?12?-?21T06:05:54.707000000Z。,4
2021-07-29T10:44:45.441+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.440+0800,Windows Error Reporting Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.440+0800,Application Experience 服务处于 停止 状态。,4
2021-07-29T10:44:45.440+0800,打印机 !!202.202.202.134!HP LaserJet Pro M404-M405 PCL 6 (V3) 所需的驱动程序 HP LaserJet Pro M404-M405 PCL 6 (V3) 未知。登录之前，请与管理员联系，安装驱动程序。,4
2021-07-29T10:44:45.440+0800,Windows Error Reporting Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.440+0800,Application Experience 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.440+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.439+0800,Windows Error Reporting Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.439+0800,Windows Error Reporting Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.439+0800,Application Experience 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.439+0800,文件系统筛选器“FileInfo”(6.1，?2009?-?07?-?14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。,4
2021-07-29T10:44:45.412+0800,生成以下严重警告: 10。内部错误状态为 1203。,4
2021-07-29T10:44:45.412+0800,打印机 !!202.202.202.144!HP LaserJet Pro M404-M405 PCL 6 (V3) 所需的驱动程序 HP LaserJet Pro M404-M405 PCL 6 (V3) 未知。登录之前，请与管理员联系，安装驱动程序。,4
2021-07-29T10:44:45.412+0800,终端服务器安全层在协议流中检测到错误，并已取消客户端连接。 客户端 IP: 192.168.100.132。,4
2021-07-29T10:44:45.412+0800,Application Experience 服务处于 停止 状态。,4
2021-07-29T10:44:45.412+0800,Application Experience 服务处于 停止 状态。,4
2021-07-29T10:44:45.412+0800,DCOM 无法使用任何配置的协议与计算机 LISSVR 通信。,4
2021-07-29T10:44:45.412+0800,DCOM 无法使用任何配置的协议与计算机 LISSVR 通信。,4
2021-07-29T10:44:45.411+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.411+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.411+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,4
2021-07-29T10:44:45.411+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,4
2021-07-29T10:44:45.411+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.411+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,4
2021-07-29T10:44:45.411+0800,终端服务器安全层在协议流中检测到错误，并已取消客户端连接。 客户端 IP: 192.168.100.132。,4
