_time,content,子串类型明细,子串类型模式,模式长度,是否包含中文,切分的结果,切分后的长度,event_key,EventId,EventTemplate,star_ratio,Occurrences,ParameterList
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,21,['停止']
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,22,['正在运行']
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,23,['停止']
2021-07-29T10:44:45.995+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,15,['正在运行']
2021-07-29T10:44:45.995+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,24,['正在运行']
2021-07-29T10:44:45.994+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,16,['停止']
2021-07-29T10:44:45.964+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,25,['停止']
2021-07-29T10:44:45.964+0800,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。,-,-,-,-,-,-,-,72,WinHTTP Web Proxy Auto-Discovery Service   服务处于   <<*>>   状态 。,-,17,['正在运行']
2021-07-29T10:44:45.964+0800,Google 更新服务 (gupdate) 服务处于 正在运行 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,26,['正在运行']
2021-07-29T10:44:45.963+0800,Google 更新服务 (gupdate) 服务处于 停止 状态。,-,-,-,-,-,-,-,71,Google   更新服务   (gupdate)   服务处于   <<*>>   状态 。,-,27,['停止']
